tipo_frete;peso;valor_total_pedido;data;abreviatura_uf;regiao;grupo_gerencial_produto;conta_numero_pedido_vendedor
CIF;0;0;31/01/2020 00:00;RJ;Sudeste;PORTA PALLET;1
CIF;0;0;26/06/2020 00:00;SC;Sul;PORTA PALLET;1
CIF;0;0;27/08/2020 00:00;SC;Sul;PORTA PALLET;1
CIF;0;0;31/08/2020 00:00;RJ;Sudeste;PORTA PALLET;1
CIF;0;0;04/09/2020 00:00;RS;Sul;PORTA PALLET;1
CIF;0;0;21/09/2020 00:00;RS;Sul;PORTA PALLET;1
CIF;0;0;18/11/2020 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;19/11/2020 00:00;SC;Sul;PORTA PALLET;1
CIF;0;0;01/12/2020 00:00;RS;Sul;PORTA PALLET;1
CIF;0;0;18/01/2021 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;04/09/2020 00:00;ES;Sudeste;PORTA PALLET;1
CIF;0;0;09/03/2021 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;25/03/2021 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;01/04/2021 00:00;RJ;Sudeste;PORTA PALLET;1
CIF;0;0;15/04/2021 00:00;CE;Nordeste;PORTA PALLET;1
CIF;0;0;10/02/2021 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;23/03/2021 00:00;ES;Sudeste;PORTA PALLET;1
CIF;0;0;09/04/2021 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;16/04/2021 00:00;RO;Norte;PORTA PALLET;1
CIF;0;0;21/10/2020 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;23/10/2020 00:00;RJ;Sudeste;PORTA PALLET;1
CIF;0;0;25/11/2020 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;16/06/2021 00:00;PR;Sul;PORTA PALLET;1
CIF;0;0;29/06/2021 00:00;RS;Sul;PORTA PALLET;1
CIF;0;0;01/07/2021 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;28/05/2021 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;03/08/2021 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;03/08/2021 00:00;PR;Sul;PORTA PALLET;1
CIF;0;0;17/08/2021 00:00;MS;Centro-Oeste;PORTA PALLET;1
CIF;0;0;02/02/2021 00:00;MG;Sudeste;PORTA PALLET;1
CIF;0;0;09/02/2021 00:00;MG;Sudeste;PORTA PALLET;1
CIF;0;0;05/03/2021 00:00;SC;Sul;PORTA PALLET;1
CIF;0;0;19/08/2021 00:00;SC;Sul;PORTA PALLET;1
CIF;0;0;13/09/2021 00:00;RJ;Sudeste;PORTA PALLET;1
CIF;0;0;23/09/2021 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;12/03/2021 00:00;MT;Centro-Oeste;PORTA PALLET;1
CIF;0;0;15/03/2021 00:00;EX;Exterior;PORTA PALLET;1
CIF;0;0;05/04/2021 00:00;MG;Sudeste;PORTA PALLET;1
CIF;0;0;09/04/2021 00:00;MG;Sudeste;PORTA PALLET;1
CIF;0;0;21/05/2021 00:00;PR;Sul;PORTA PALLET;1
CIF;0;0;24/05/2021 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;25/06/2021 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;28/06/2021 00:00;RS;Sul;PORTA PALLET;1
CIF;0;0;29/06/2021 00:00;SC;Sul;PORTA PALLET;1
CIF;0;0;08/07/2021 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;23/11/2021 00:00;BA;Nordeste;PORTA PALLET;1
CIF;0;0;02/08/2021 00:00;PE;Nordeste;PORTA PALLET;1
CIF;0;0;25/01/2022 00:00;CE;Nordeste;PORTA PALLET;1
CIF;0;0;08/02/2022 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;05/04/2022 00:00;MG;Sudeste;PORTA PALLET;1
CIF;0;0;12/04/2022 00:00;AL;Nordeste;PORTA PALLET;1
CIF;0;0;25/05/2022 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;26/05/2022 00:00;MG;Sudeste;PORTA PALLET;1
CIF;0;0;13/10/2021 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;15/10/2021 00:00;AM;Norte;PORTA PALLET;1
CIF;0;0;22/10/2021 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;01/08/2022 00:00;ES;Sudeste;PORTA PALLET;1
CIF;0;0;03/08/2022 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;17/01/2022 00:00;RS;Sul;PORTA PALLET;1
CIF;0;0;10/08/2022 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;22/08/2022 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;16/09/2022 00:00;BA;Nordeste;PORTA PALLET;1
CIF;0;0;18/04/2022 00:00;MT;Centro-Oeste;PORTA PALLET;1
CIF;0;0;28/04/2022 00:00;MG;Sudeste;PORTA PALLET;1
CIF;0;0;29/04/2022 00:00;MG;Sudeste;PORTA PALLET;1
CIF;0;0;06/09/2022 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;08/11/2022 00:00;SC;Sul;PORTA PALLET;1
CIF;0;0;15/07/2022 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;16/12/2022 00:00;SC;Sul;PORTA PALLET;1
CIF;0;0;10/01/2023 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;14/02/2023 00:00;SC;Sul;PORTA PALLET;1
CIF;0;0;02/03/2023 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;14/04/2023 00:00;PR;Sul;PORTA PALLET;1
CIF;0;0;01/11/2022 00:00;RS;Sul;PORTA PALLET;1
CIF;0;0;21/11/2022 00:00;MT;Centro-Oeste;PORTA PALLET;1
CIF;0;0;10/05/2023 00:00;RJ;Sudeste;PORTA PALLET;1
CIF;0;0;17/02/2023 00:00;RS;Sul;PORTA PALLET;1
CIF;0;0;23/03/2023 00:00;SC;Sul;PORTA PALLET;1
CIF;0;0;14/04/2023 00:00;AM;Norte;PORTA PALLET;1
CIF;0;0;02/05/2023 00:00;EX;Exterior;PORTA PALLET;1
CIF;0;0;31/01/2023 00:00;PI;Nordeste;PORTA PALLET;1
